userId,productId,score,time
A1FWT811DSZLC8,B00064C0IU,3.0,1360368000
A1THE6V6O8ROD4,B00064C0IU,5.0,1358467200
A176IQ7MVD3N6T,B00064C0IU,1.0,1357084800
A34BDX4JVMG23Y,B00064C0IU,5.0,1326240000
A3UWJXJI7S3T05,B000K5JBZU,5.0,1351987200
A1QAXWETH56D6J,B000K5JBZU,5.0,1360972800
A1QE7PR7V4HHLZ,B000FKGRT8,2.0,1198886400
A3PB71Q63XF43G,B000FKGRT8,5.0,1168819200
A1AY2O6QFQC7CN,B000FKGRT8,5.0,1166659200
A3OAK3L4MTKNJV,B000FKGRT8,5.0,1172188800
A1MCMM8C7SARLP,B000FKGRT8,5.0,1178409600
A1H70LTQJ2VJG8,B000FKGRT8,5.0,1174780800
AB3KJLVWYP1MI,B000FKGRT8,5.0,1307664000
A230X2QUHTY8MQ,B000FKGRT8,5.0,1344038400
AP0PLMNNH56MA,B000FKGRT8,1.0,1202515200
AUKDB4N5NRB5P,B000FKGRT8,5.0,1202169600
A3N96FK80PJ88D,B000FKGRT8,2.0,1201564800
ATKUBKOQS0JFE,B000FKGRT8,2.0,1201392000
A221QWSGPRZ9Q9,B000FKGRT8,5.0,1201219200
AZN28ZLXYIJDE,B000F1OVRC,5.0,1174003200
A1LI5CQBK3CPSX,B000G35MR2,5.0,1332979200
A2FUKCI8AHXNH9,B000G35MR2,5.0,1330992000
ATFFOJSR1EZPS,B000G35MR2,5.0,1324252800
A9NXZD4W48M8G,B000G35MR2,5.0,1316476800
A28OIXXR3WF2A7,B000G35MR2,5.0,1306454400
A1L1OD2V298YMX,B000G35MR2,5.0,1302134400
A11OH2MLX5AZSX,B000G35MR2,4.0,1319241600
A3TF15XLPUDFVU,B000G35MR2,5.0,1357603200
A2T0CZ9W262EO1,B000G35MR2,5.0,1356480000
A2NTW7V67COHOW,B000G35MR2,2.0,1356134400
A21HOY50DPUYQN,B000G35MR2,5.0,1356048000
A2IBK1MYXTFJH0,B000G35MR2,5.0,1355788800
A2XSC45K6EDTJV,B000G35MR2,5.0,1355529600
A296R95U43DQG7,B000G35MR2,4.0,1354838400
AY1K7NKKOQJCJ,B000G35MR2,5.0,1350604800
A2694REVAMAL4H,B000G35MR2,5.0,1348531200
ARQK80NOQDOZA,B000G35MR2,5.0,1340323200
A1SJD2JGU1HH12,B000G35MR2,5.0,1323302400
A3NRIS6JOJ2R8K,B000G35MR2,5.0,1317168000
A3AM7W4YY98F5S,B000G35MR2,5.0,1240790400
A2WZMRT5BX05YI,B000G35MR2,5.0,1233878400
AC43QGFKN3IGU,B000G35MR2,5.0,1301184000
ALWL0AJ94O8RJ,B000G35MR2,5.0,1267228800
A12S2ZLQFGJ4P0,B000G35MR2,5.0,1250985600
A7NCGA42VJXSN,B000G35MR2,5.0,1359158400
A4S8RMQY4O7CT,B000G35MR2,5.0,1358726400
A35LUIP33WV67E,B000G35MR2,5.0,1358035200
A12RC0VUMN9LQ3,B0009XLSV8,5.0,1208563200
